method,dataset,sequence,frames,MPE_m,MedPE_m,MOE_deg,MedOE_deg,recall@10m,recall@9m,recall@8m,recall@7m,recall@6m,recall@5m,recall@4m,recall@3m,recall@2m,recall@1m
PointLoc,Oxford,15-13-06-37,36109,16.08,11.58,2.26,1.07,39.93,33.41,26.63,20.6,15.02,9.94,5.93,2.76,0.93,0.14
PointLoc,Oxford,17-13-26-39,42778,16.22,11.61,2.5,1.53,41.13,35.19,28.63,21.79,15.19,9.29,4.9,2.01,0.51,0.04
PointLoc,Oxford,17-14-03-00,43705,14.86,11.6,1.92,1.04,40.89,34.58,27.92,21.14,14.53,8.8,4.27,1.63,0.42,0.04
PointLoc,Oxford,18-14-14-42,37109,12.99,10.21,1.98,1.15,48.63,42.07,34.67,26.78,19.7,13.37,8.1,4.1,1.42,0.16
PointLoc,QEOxford,15-13-06-37,36109,10.61,8.08,2.36,1.43,63.76,57.23,49.41,41.0,32.62,24.63,17.04,10.17,4.74,1.22
PointLoc,QEOxford,17-13-26-39,42778,11.44,8.08,2.21,1.31,63.88,57.15,49.31,40.81,32.04,23.27,15.74,9.44,4.46,1.04
PointLoc,QEOxford,17-14-03-00,43705,10.9,8.16,1.92,1.46,62.94,56.12,48.72,41.21,33.24,25.19,17.17,10.17,4.59,1.1
PointLoc,QEOxford,18-14-14-42,37109,9.51,7.46,2.07,1.5,68.24,61.79,54.37,46.08,37.17,28.01,19.29,11.52,5.45,1.32
PointLoc,NCLT,2012-02-12,25546,7.23,5.44,4.88,3.13,83.17,78.33,72.24,64.7,55.59,45.42,34.52,22.65,11.39,3.23
PointLoc,NCLT,2012-02-19,26543,6.31,5.03,3.89,2.87,86.0,81.67,75.86,68.73,59.96,49.59,37.87,25.65,13.2,3.55
PointLoc,NCLT,2012-03-31,26205,6.71,5.25,4.32,2.94,85.49,80.81,74.88,67.1,57.62,47.19,35.33,22.89,11.95,3.24
PointLoc,NCLT,2012-05-26,26240,9.55,5.61,5.21,3.14,79.54,75.07,69.19,62.02,53.8,43.97,33.29,21.92,11.27,3.06
PosePN,Oxford,15-13-06-37,36109,14.32,4.84,3.04,0.71,82.39,79.96,76.28,71.17,63.42,52.29,37.4,21.59,8.22,1.16
PosePN,Oxford,17-13-26-39,42778,16.97,5.46,2.49,0.75,76.33,73.39,69.58,64.36,56.0,43.9,29.26,15.41,5.1,0.66
PosePN,Oxford,17-14-03-00,43705,13.42,5.23,2.62,0.79,80.32,77.79,74.08,68.45,59.62,46.38,29.0,13.66,4.89,0.86
PosePN,Oxford,18-14-14-42,37109,9.14,3.43,1.8,0.82,88.68,86.9,84.46,80.99,76.15,69.14,58.52,41.95,19.37,2.77
PosePN,QEOxford,15-13-06-37,36109,9.47,3.58,2.8,0.86,89.07,87.57,85.23,81.66,76.11,68.19,56.12,41.13,24.79,8.24
PosePN,QEOxford,17-13-26-39,42778,12.98,3.47,2.35,0.92,86.54,84.88,82.43,79.21,74.54,67.34,56.99,42.6,24.31,7.14
PosePN,QEOxford,17-14-03-00,43705,8.63,3.29,2.19,0.91,88.1,86.65,84.68,81.72,77.17,70.27,59.92,45.38,27.36,8.77
